Pop	N	A	He	Ho	Fis	N.Missing	P.GT	A.se	He.se	Ho.se	Fis.se	N.Missing.se	P.GT.se	related	sim
Pop	109	8.75	0.7338	0.7488	-0.0213	0	100	0.959	0.0297	0.0309	0.0119	0	0	0.0964723071695549	131
Pop	109	8.5	0.7325	0.7538	-0.0275	0	99.7712	1	0.0245	0.03	0.0152	0	0.2287	0.107900169894665	132
Pop	109	8.375	0.7312	0.7312	0.005	0	99.6562	0.8224	0.0266	0.0401	0.0226	0	0.3437	0.108068569486918	133
Pop	109	9	0.72	0.735	-0.0213	0	100	0.982	0.0269	0.0295	0.0055	0	0	0.104459072375127	134
Pop	109	8.625	0.7288	0.7338	-0.005	0	100	0.9437	0.0279	0.0345	0.0172	0	0	0.108324125042474	135
Pop	109	8.625	0.7263	0.7438	-0.0225	0	100	0.9437	0.0289	0.0357	0.0098	0	0	0.100316123003738	136
Pop	109	8.625	0.7312	0.7288	0.0025	0	100	1.1009	0.0263	0.0319	0.0264	0	0	0.107583927964662	137
Pop	109	8.5	0.74	0.7425	-0.005	0	99.5413	0.866	0.0262	0.0233	0.0155	0	0.4588	0.105251206252124	138
Pop	109	8.625	0.7275	0.7737	-0.065	0	99.6562	0.9808	0.0281	0.0281	0.0124	0	0.3437	0.0997950220863065	139
Pop	109	8.75	0.7263	0.7262	0.005	0	99.885	0.921	0.0269	0.0382	0.028	0	0.115	0.108393000339789	140
Pop	109	8.75	0.7412	0.765	-0.0312	0	98.6238	0.9402	0.0246	0.0259	0.0134	0	1.3763	0.102227319062181	141
Pop	109	8.875	0.7362	0.735	0.0025	0	99.6562	0.8332	0.0246	0.0295	0.0152	0	0.3437	0.108778712198437	142
Pop	109	8.375	0.72	0.7238	-0.0025	0	99.5413	0.8851	0.0336	0.0422	0.0218	0	0.4588	0.107658205912334	143
Pop	109	8.625	0.7425	0.7788	-0.0488	0	100	0.9437	0.0272	0.0355	0.0246	0	0	0.0954167006455997	144
Pop	109	8.75	0.715	0.7275	-0.0188	0	99.7712	0.9014	0.0301	0.0301	0.0083	0	0.2287	0.103487393815834	145
Pop	109	8.75	0.7312	0.7238	0.0125	0	99.3125	0.9402	0.0284	0.0359	0.0192	0	0.6875	0.103454536187564	146
Pop	109	9	0.7275	0.7275	0.0012	0	99.885	0.982	0.0282	0.0308	0.0166	0	0.115	0.10446126401631	147
Pop	109	8.875	0.7112	0.7138	-0.0012	0	99.3125	0.9149	0.0278	0.0321	0.0197	0	0.6875	0.111178712198437	148
Pop	109	8.875	0.7113	0.7112	-0.0025	0	99.7712	1.0078	0.0324	0.0303	0.0171	0	0.2287	0.113042422697927	149
Pop	109	8.5	0.7	0.6637	0.0525	0	99.7712	0.8864	0.0282	0.0264	0.0221	0	0.2287	0.116496415222562	150
Pop	109	8.375	0.705	0.7038	0.0025	0	99.6562	1.0166	0.0296	0.034	0.0173	0	0.3437	0.111530869860686	151
Pop	109	8.875	0.7163	0.7388	-0.0275	0	99.6562	0.9531	0.0304	0.0375	0.0166	0	0.3437	0.100609072375127	152
Pop	109	8.875	0.7188	0.74	-0.0275	0	99.6562	1.0253	0.0307	0.038	0.0153	0	0.3437	0.0967627590893646	153
Pop	109	8.875	0.7138	0.7275	-0.0175	0	99.885	0.9899	0.0304	0.0391	0.0222	0	0.115	0.1077958885491	154
Pop	109	8.75	0.73	0.7462	-0.025	0	99.885	0.959	0.0292	0.0318	0.0198	0	0.115	0.104491845056065	155
Pop	109	9	0.7388	0.7562	-0.025	0	99.5413	1	0.0269	0.0245	0.013	0	0.4588	0.106965936119606	156
Pop	109	9	0.7	0.6938	0.0088	0	99.5413	0.8864	0.0363	0.0383	0.0199	0	0.4588	0.109826571525654	157
Pop	109	8.75	0.7338	0.755	-0.0325	0	99.4262	1.048	0.0262	0.0208	0.0309	0	0.5738	0.108405657492355	158
Pop	109	8.75	0.7388	0.7525	-0.0175	0	99.4262	0.921	0.0239	0.0276	0.0181	0	0.5738	0.100245327896704	159
Pop	109	8.875	0.7375	0.7313	0.0087	0	99.6562	1.0078	0.0231	0.0314	0.0277	0	0.3437	0.107012810057764	160
Pop	109	8.625	0.71	0.7125	-0.005	0	99.5413	1.0511	0.0307	0.034	0.025	0	0.4588	0.107181804281346	161
Pop	109	8.5	0.73	0.7512	-0.0325	0	99.885	0.9258	0.0282	0.0273	0.0139	0	0.115	0.0996293408086986	162
Pop	109	8.75	0.7225	0.7175	0.0088	0	99.885	0.921	0.0271	0.0333	0.0163	0	0.115	0.111958953448862	163
Pop	109	8.75	0.7325	0.7625	-0.04	0	99.5413	0.959	0.0288	0.0316	0.015	0	0.4588	0.0965609921848454	164
